,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d
55,S-TIH11,785257,792255,1.729984 ,1.736390 ,1.743970 ,1.752219 ,1.755489 ,1.761860 ,1.766619 ,1.771208 ,1.775965 ,1.777325 ,1.778609 ,1.784460 ,1.784723 ,1.791920 ,1.806519 ,1.808413 ,1.822749 ,1.825344 ,1.842388 ,,25.7 ,25.5 ,25.68 ,25.47 ,0.03056 ,0.030554 ,0.031088 ,0.020476 ,0.009346 ,0.008758 ,0.015955 ,0.040621 ,0.018825 ,0.017044 ,,0.021836 ,0.014595 ,0.016493 ,,0.6702 ,0.3059 ,0.2866 ,0.5222 ,1.3295 ,0.6161 ,0.5578 ,,0.7024 ,0.4695 ,0.5305 ,,0.0030 ,-0.0011 ,0.0181 ,0.0162 ,,1.72677471E+00,3.24568628E-01,2.65816809E+00,1.29369958E-02,6.18255245E-02,2.21904637E+02,,,,,,,430 ,,365 ,400 ,369 ,0.00 ,3.80 ,3.85 ,,,,,,,,,,0.080 ,0.400 ,0.660 ,0.800 ,0.915 ,0.948 ,0.964 ,0.973 ,0.980 ,0.992 ,0.992 ,0.990 ,0.992 ,0.998 ,0.998 ,0.999 ,0.999 ,0.997 ,0.996 ,0.989 ,0.982 ,0.964 ,0.942 ,-0.3 ,-0.2 ,-0.1 ,0.0 ,0.0 ,0.1 ,0.5 ,0.7 ,0.8 ,1.0 ,1.1 ,1.3 ,0.6 ,0.7 ,0.9 ,1.1 ,1.2 ,1.4 ,0.9 ,1.1 ,1.3 ,1.5 ,1.7 ,1.9 ,1.4 ,1.6 ,1.9 ,2.1 ,2.3 ,2.5 ,2.6 ,2.9 ,3.2 ,3.5 ,3.8 ,4.1 ,4.1 ,4.5 ,4.9 ,5.3 ,5.7 ,6.1 ,-3.76E-06,1.17E-08,-3.59E-11,8.88E-07,1.27E-09,3.08E-01,569 ,588 ,602 ,633 ,686 ,89 ,103 ,1.017 ,912 ,363 ,0.255 ,550 ,6 ,171 ,2.81 ,1 ,1 ,1 ,,1.0 ,1.0 ,,3.24 
56,S-TIH13,741278,747276,1.690624 ,1.696934 ,1.704249 ,1.711933 ,1.714904 ,1.720618 ,1.724845 ,1.728900 ,1.733089 ,1.734284 ,1.735411 ,1.740539 ,1.740769 ,1.747055 ,1.759746 ,1.761386 ,1.773762 ,1.775994 ,1.790587 ,,27.8 ,27.6 ,27.79 ,27.56 ,0.02666 ,0.026657 ,0.027102 ,0.018185 ,0.008244 ,0.007680 ,0.013966 ,0.035225 ,0.016248 ,0.014593 ,,0.019380 ,0.012771 ,0.014331 ,,0.6822 ,0.3093 ,0.2881 ,0.5239 ,1.3214 ,0.6095 ,0.5474 ,,0.7151 ,0.4712 ,0.5288 ,,0.0051 ,-0.0002 ,0.0144 ,0.0130 ,,1.62224674E+00,2.93844589E-01,1.99225164E+00,1.18368386E-02,5.90208025E-02,1.71959976E+02,,,,,,,415 ,,365 ,400 ,368 ,0.00 ,3.64 ,3.67 ,,,,,,,,,,0.080 ,0.380 ,0.640 ,0.800 ,0.921 ,0.957 ,0.970 ,0.978 ,0.984 ,0.993 ,0.993 ,0.991 ,0.994 ,0.997 ,0.998 ,0.997 ,0.998 ,0.994 ,0.993 ,0.983 ,0.974 ,0.944 ,0.920 ,1.0 ,1.0 ,1.1 ,1.1 ,1.2 ,1.3 ,1.8 ,1.9 ,2.0 ,2.1 ,2.2 ,2.3 ,1.8 ,1.9 ,2.1 ,2.2 ,2.3 ,2.4 ,2.1 ,2.3 ,2.4 ,2.5 ,2.7 ,2.8 ,2.6 ,2.7 ,2.9 ,3.0 ,3.2 ,3.4 ,3.6 ,3.9 ,4.1 ,4.3 ,4.5 ,4.7 ,4.9 ,5.2 ,5.5 ,5.8 ,6.1 ,6.4 ,-1.65E-06,1.10E-08,-3.44E-11,8.43E-07,1.07E-09,3.00E-01,573 ,595 ,616 ,642 ,700 ,83 ,96 ,1.034 ,899 ,360 ,0.249 ,510 ,5 ,148 ,2.83 ,1 ,1 ,1 ,,1.0 ,1.0 ,,3.10 
57,S-TIH14,762265,769263,1.709159 ,1.715540 ,1.723018 ,1.731019 ,1.734154 ,1.740223 ,1.744736 ,1.749076 ,1.753567 ,1.754851 ,1.756061 ,1.761573 ,1.761821 ,1.768591 ,1.782296 ,1.784072 ,1.797496 ,1.799923 ,1.815840 ,,26.5 ,26.3 ,26.52 ,26.30 ,0.02873 ,0.028729 ,0.029221 ,0.019413 ,0.008831 ,0.008254 ,0.015024 ,0.038102 ,0.017627 ,0.015917 ,,0.020697 ,0.013740 ,0.015481 ,,0.6757 ,0.3074 ,0.2873 ,0.5230 ,1.3263 ,0.6136 ,0.5540 ,,0.7083 ,0.4702 ,0.5298 ,,0.0046 ,-0.0006 ,0.0167 ,0.0150 ,,1.68915108E+00,2.90462024E-01,2.37971516E+00,1.28202514E-02,6.18090841E-02,2.01094352E+02,,,,,,,420 ,,365 ,397 ,368 ,0.00 ,3.11 ,3.10 ,,,,,,,,,,0.100 ,0.430 ,0.700 ,0.840 ,0.934 ,0.960 ,0.971 ,0.977 ,0.983 ,0.993 ,0.993 ,0.990 ,0.992 ,0.997 ,0.999 ,0.999 ,0.999 ,0.997 ,0.996 ,0.988 ,0.982 ,0.961 ,0.942 ,0.2 ,0.3 ,0.4 ,0.5 ,0.6 ,0.7 ,0.9 ,1.1 ,1.2 ,1.4 ,1.6 ,1.7 ,1.0 ,1.2 ,1.3 ,1.5 ,1.7 ,1.8 ,1.4 ,1.6 ,1.7 ,2.0 ,2.2 ,2.4 ,1.8 ,2.0 ,2.2 ,2.4 ,2.7 ,2.9 ,2.9 ,3.2 ,3.5 ,3.8 ,4.1 ,4.4 ,4.3 ,4.7 ,5.1 ,5.5 ,5.9 ,6.2 ,-2.83E-06,1.27E-08,-3.36E-11,8.35E-07,1.16E-09,3.10E-01,565 ,590 ,609 ,634 ,693 ,87 ,100 ,1.027 ,888 ,354 ,0.254 ,550 ,6 ,163 ,2.86 ,1 ,1 ,2 ,,1.0 ,1.0 ,,3.17 
58,S-TIH18,722292,727290,1.673842 ,1.680025 ,1.687150 ,1.694526 ,1.697343 ,1.702724 ,1.706684 ,1.710470 ,1.714371 ,1.715484 ,1.716532 ,1.721293 ,1.721507 ,1.727331 ,1.739054 ,1.740565 ,1.751947 ,1.753995 ,1.767353 ,,29.2 ,29.0 ,29.23 ,29.00 ,0.02468 ,0.024683 ,0.025081 ,0.017028 ,0.007687 ,0.007136 ,0.012960 ,0.032488 ,0.014941 ,0.013358 ,,0.018141 ,0.011847 ,0.013234 ,,0.6899 ,0.3114 ,0.2891 ,0.5251 ,1.3162 ,0.6053 ,0.5412 ,,0.7233 ,0.4723 ,0.5277 ,,0.0061 ,0.0001 ,0.0122 ,0.0111 ,,1.59921608E+00,2.59532164E-01,2.12454543E+00,1.16469304E-02,5.84824883E-02,1.86927779E+02,,,,,,,410 ,,360 ,393 ,366 ,0.00 ,2.43 ,2.44 ,,,,,,,,,,0.180 ,0.540 ,0.770 ,0.870 ,0.951 ,0.971 ,0.979 ,0.984 ,0.988 ,0.995 ,0.995 ,0.993 ,0.995 ,0.998 ,0.999 ,0.999 ,0.999 ,0.996 ,0.995 ,0.986 ,0.978 ,0.948 ,0.928 ,1.1 ,1.2 ,1.3 ,1.4 ,1.5 ,1.6 ,1.8 ,1.9 ,2.0 ,2.2 ,2.3 ,2.4 ,1.8 ,2.0 ,2.2 ,2.3 ,2.5 ,2.6 ,2.2 ,2.3 ,2.5 ,2.7 ,2.8 ,3.0 ,2.5 ,2.7 ,2.9 ,3.1 ,3.3 ,3.5 ,3.5 ,3.8 ,4.0 ,4.3 ,4.5 ,4.8 ,4.7 ,5.0 ,5.3 ,5.7 ,6.0 ,6.3 ,-1.15E-06,1.28E-08,-3.62E-11,7.62E-07,1.01E-09,3.06E-01,570 ,596 ,616 ,644 ,703 ,83 ,98 ,1.029 ,891 ,357 ,0.248 ,560 ,6 ,154 ,2.87 ,1 ,1 ,1 ,2 ,1.0 ,1.0 ,,3.07 
59,S-TIH23,785263,792261,1.731025 ,1.737316 ,1.744751 ,1.752843 ,1.756051 ,1.762302 ,1.766969 ,1.771466 ,1.776125 ,1.777458 ,1.778714 ,1.784439 ,1.784696 ,1.791730 ,1.805972 ,1.807817 ,1.821763 ,1.824284 ,1.840808 ,,26.3 ,26.1 ,26.29 ,26.08 ,0.02984 ,0.029847 ,0.030359 ,0.020074 ,0.009156 ,0.008571 ,0.015605 ,0.039588 ,0.018312 ,0.016524 ,,0.021407 ,0.014272 ,0.016087 ,,0.6726 ,0.3068 ,0.2872 ,0.5228 ,1.3264 ,0.6135 ,0.5536 ,,0.7051 ,0.4701 ,0.5299 ,,0.0026 ,-0.0009 ,0.0163 ,0.0146 ,,1.73986485E+00,3.13894918E-01,2.31093206E+00,1.29441300E-02,6.12116868E-02,1.97420482E+02,,,,,,,435 ,,365 ,400 ,368 ,0.00 ,3.88 ,3.97 ,,,,,,,,,,0.120 ,0.440 ,0.670 ,0.800 ,0.906 ,0.947 ,0.962 ,0.972 ,0.979 ,0.992 ,0.992 ,0.991 ,0.993 ,0.998 ,0.998 ,0.998 ,0.999 ,0.997 ,0.996 ,0.988 ,0.981 ,0.962 ,0.937 ,-0.3 ,-0.2 ,-0.1 ,-0.1 ,0.0 ,0.1 ,0.5 ,0.7 ,0.8 ,0.9 ,1.0 ,1.2 ,0.6 ,0.7 ,0.9 ,1.0 ,1.1 ,1.2 ,1.0 ,1.1 ,1.3 ,1.4 ,1.5 ,1.7 ,1.4 ,1.6 ,1.8 ,2.0 ,2.2 ,2.3 ,2.6 ,2.9 ,3.1 ,3.4 ,3.7 ,3.9 ,4.1 ,4.4 ,4.8 ,5.1 ,5.5 ,5.8 ,-3.78E-06,1.09E-08,-3.66E-11,8.62E-07,1.13E-09,3.09E-01,561 ,586 ,604 ,635 ,684 ,88 ,106 ,0.992 ,922 ,366 ,0.260 ,540 ,5 ,180 ,2.69 ,1 ,1 ,2 ,,1.0 ,1.0 ,,3.30 
60,S-TIH53,847238,855236,1.785191 ,1.791987 ,1.800130 ,1.809248 ,1.812938 ,1.820209 ,1.825682 ,1.830980 ,1.836488 ,1.838066 ,1.839556 ,1.846354 ,1.846660 ,1.855041 ,1.872096 ,1.874313 ,1.891137 ,1.894189 ,1.914294 ,,23.8 ,23.6 ,23.78 ,23.59 ,0.03561 ,0.035608 ,0.036247 ,0.023550 ,0.010806 ,0.010172 ,0.018553 ,0.047529 ,0.022093 ,0.020105 ,,0.025128 ,0.016975 ,0.019272 ,,0.6614 ,0.3035 ,0.2857 ,0.5210 ,1.3348 ,0.6205 ,0.5646 ,,0.6932 ,0.4683 ,0.5317 ,,0.0032 ,-0.0012 ,0.0195 ,0.0175 ,,1.87904886E+00,3.69719775E-01,2.33730863E+00,1.44121770E-02,6.38817990E-02,1.82668180E+02,,,,,,,,420 ,370 ,408 ,370 ,0.00 ,4.97 ,5.06 ,,,,,,,,,,0.060 ,0.350 ,0.610 ,0.750 ,0.870 ,0.927 ,0.948 ,0.961 ,0.971 ,0.987 ,0.989 ,0.985 ,0.989 ,0.997 ,0.998 ,0.999 ,0.999 ,0.998 ,0.997 ,0.991 ,0.986 ,0.974 ,0.955 ,-0.8 ,-0.8 ,-0.7 ,-0.7 ,-0.6 ,-0.6 ,0.4 ,0.5 ,0.6 ,0.7 ,0.9 ,1.0 ,0.4 ,0.6 ,0.7 ,0.8 ,1.0 ,1.1 ,0.9 ,1.0 ,1.2 ,1.3 ,1.5 ,1.6 ,1.4 ,1.6 ,1.8 ,2.0 ,2.2 ,2.4 ,2.8 ,3.1 ,3.4 ,3.7 ,4.0 ,4.3 ,4.5 ,5.0 ,5.4 ,5.8 ,6.2 ,6.6 ,-4.85E-06,8.97E-09,-3.32E-11,1.13E-06,1.60E-09,2.90E-01,576 ,596 ,624 ,658 ,692 ,88 ,104 ,1.000 ,960 ,379 ,0.266 ,520 ,5 ,170 ,2.81 ,1 ,1 ,1 ,,1.0 ,1.0 ,B,3.54 
61,S-TIH53W,847238,855236,1.785191 ,1.791987 ,1.800130 ,1.809248 ,1.812938 ,1.820209 ,1.825682 ,1.830980 ,1.836488 ,1.838066 ,1.839556 ,1.846354 ,1.846660 ,1.855041 ,1.872096 ,1.874313 ,1.891137 ,1.894189 ,1.914294 ,,23.8 ,23.6 ,23.78 ,23.59 ,0.03561 ,0.035608 ,0.036247 ,0.023550 ,0.010806 ,0.010172 ,0.018553 ,0.047529 ,0.022093 ,0.020105 ,,0.025128 ,0.016975 ,0.019272 ,,0.6614 ,0.3035 ,0.2857 ,0.5210 ,1.3348 ,0.6205 ,0.5646 ,,0.6932 ,0.4683 ,0.5317 ,,0.0032 ,-0.0012 ,0.0195 ,0.0175 ,,1.87904886E+00,3.69719775E-01,2.33730863E+00,1.44121770E-02,6.38817990E-02,1.82668180E+02,,,,,,,,404 ,368 ,398 ,368 ,0.00 ,3.49 ,3.70 ,,,,,,,,,,0.110 ,0.450 ,0.710 ,0.830 ,0.918 ,0.954 ,0.971 ,0.980 ,0.986 ,0.995 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.994 ,0.985 ,0.961 ,0.925 ,-0.8 ,-0.8 ,-0.7 ,-0.7 ,-0.6 ,-0.6 ,0.4 ,0.5 ,0.6 ,0.7 ,0.9 ,1.0 ,0.4 ,0.6 ,0.7 ,0.8 ,1.0 ,1.1 ,0.9 ,1.0 ,1.2 ,1.3 ,1.5 ,1.6 ,1.4 ,1.6 ,1.8 ,2.0 ,2.2 ,2.4 ,2.8 ,3.1 ,3.4 ,3.7 ,4.0 ,4.3 ,4.5 ,5.0 ,5.4 ,5.8 ,6.2 ,6.6 ,-4.85E-06,8.97E-09,-3.32E-11,1.13E-06,1.60E-09,2.90E-01,576 ,596 ,624 ,658 ,692 ,88 ,104 ,1.000 ,960 ,379 ,0.266 ,520 ,5 ,170 ,2.81 ,1 ,1 ,1 ,,1.0 ,1.0 ,B,3.54 
62,S-TIH57,963241,972239,1.893940 ,1.901635 ,1.910819 ,1.921064 ,1.925204 ,1.933353 ,1.939487 ,1.945424 ,1.951598 ,1.953366 ,1.955036 ,1.962657 ,1.963000 ,1.972398 ,1.991533 ,1.994022 ,2.012911 ,2.016340 ,2.038934 ,,24.1 ,23.9 ,24.11 ,23.92 ,0.03993 ,0.039935 ,0.040656 ,0.026394 ,0.012111 ,0.011402 ,0.020800 ,0.053340 ,0.024807 ,0.022594 ,,0.028162 ,0.019032 ,0.021624 ,,0.6609 ,0.3033 ,0.2855 ,0.5208 ,1.3357 ,0.6212 ,0.5658 ,,0.6927 ,0.4681 ,0.5319 ,,0.0011 ,-0.0018 ,0.0211 ,0.0187 ,,2.21103256E+00,4.50346986E-01,2.47746663E+00,1.42330268E-02,6.38573392E-02,1.61937600E+02,,,,,,,,450 ,375 ,433 ,373 ,0.00 ,10.27 ,10.95 ,,,,,,,,,,0.020 ,0.130 ,0.330 ,0.510 ,0.730 ,0.840 ,0.898 ,0.929 ,0.950 ,0.979 ,0.988 ,0.991 ,0.994 ,0.997 ,0.997 ,0.997 ,0.997 ,0.997 ,0.995 ,0.989 ,0.977 ,0.947 ,0.850 ,0.5 ,0.5 ,0.6 ,0.7 ,0.9 ,1.1 ,1.8 ,1.9 ,2.1 ,2.3 ,2.6 ,2.8 ,1.9 ,2.0 ,2.2 ,2.4 ,2.7 ,2.9 ,2.4 ,2.5 ,2.8 ,3.0 ,3.3 ,3.6 ,3.0 ,3.2 ,3.5 ,3.8 ,4.1 ,4.4 ,4.6 ,5.0 ,5.4 ,5.8 ,6.2 ,6.6 ,6.6 ,7.1 ,7.6 ,8.1 ,8.7 ,9.3 ,-2.66E-06,1.11E-08,-1.56E-11,1.12E-06,1.58E-09,2.93E-01,634 ,661 ,672 ,707 ,732 ,75 ,91 ,0.970 ,1170 ,453 ,0.292 ,630 ,6 ,97 ,1.73 ,1 ,1 ,1 ,,3.0 ,1.0 ,,4.20 
63,S-LAL 7,652585,654583,1.618503 ,1.624788 ,1.631435 ,1.637154 ,1.639003 ,1.642180 ,1.644323 ,1.646272 ,1.648207 ,1.648747 ,1.649251 ,1.651498 ,1.651597 ,1.654251 ,1.659336 ,1.659968 ,1.664574 ,1.665374 ,1.670384 ,1.678916 ,58.5 ,58.3 ,58.55 ,58.31 ,0.01113 ,0.011129 ,0.011221 ,0.009204 ,0.003884 ,0.003390 ,0.006044 ,0.013777 ,0.006038 ,0.005010 ,0.013542 ,0.009744 ,0.005504 ,0.005717 ,0.018948 ,0.8270 ,0.3490 ,0.3046 ,0.5431 ,1.2379 ,0.5425 ,0.4502 ,1.2168 ,0.8684 ,0.4905 ,0.5095 ,1.6886 ,0.0056 ,0.0022 ,-0.0052 ,-0.0042 ,-0.0179 ,9.16121247E-01,7.65948319E-01,1.27745023E+00,3.95889743E-03,1.67547425E-02,1.10762706E+02,,,,,,,345 ,,275 ,330 ,277 ,0.00 ,0.18 ,0.16 ,0.090 ,0.220 ,0.380 ,0.550 ,0.690 ,0.800 ,0.880 ,0.929 ,0.957 ,0.974 ,0.984 ,0.990 ,0.992 ,0.994 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.999 ,0.998 ,0.998 ,0.997 ,0.991 ,0.993 ,0.984 ,0.968 ,0.903 ,0.740 ,1.5 ,1.5 ,1.6 ,1.8 ,1.8 ,1.8 ,1.8 ,1.8 ,1.9 ,2.0 ,2.1 ,2.2 ,1.8 ,1.9 ,2.0 ,2.0 ,2.1 ,2.2 ,1.9 ,2.0 ,2.1 ,2.2 ,2.3 ,2.4 ,2.0 ,2.1 ,2.2 ,2.3 ,2.4 ,2.5 ,2.3 ,2.4 ,2.5 ,2.6 ,2.8 ,2.9 ,2.6 ,2.7 ,2.8 ,3.0 ,3.1 ,3.2 ,5.43E-08,1.30E-08,-3.43E-11,3.49E-07,4.29E-10,2.37E-01,582 ,603 ,617 ,658 ,694 ,67 ,81 ,0.825 ,958 ,377 ,0.271 ,560 ,6 ,136 ,1.72 ,3 ,5 ,2 ,3 ,53.0 ,4.0 ,,3.73 
64,S-LAL 7Q,652585,654584,1.615233 ,1.622648 ,1.630338 ,1.636714 ,1.638704 ,1.642042 ,1.644249 ,1.646235 ,1.648192 ,1.648737 ,1.649245 ,1.651501 ,1.651600 ,1.654255 ,1.659322 ,1.659952 ,1.664527 ,1.665321 ,1.670287 ,1.678731 ,58.5 ,58.4 ,58.54 ,58.34 ,0.01113 ,0.011130 ,0.011215 ,0.009488 ,0.003943 ,0.003408 ,0.006063 ,0.013721 ,0.005999 ,0.004966 ,0.013410 ,0.010033 ,0.005518 ,0.005697 ,0.018779 ,0.8525 ,0.3543 ,0.3062 ,0.5447 ,1.2328 ,0.5390 ,0.4462 ,1.2049 ,0.8946 ,0.4920 ,0.5080 ,1.6745 ,0.0312 ,0.0075 ,-0.0103 ,-0.0078 ,-0.0299 ,9.05277143E-01,7.77955684E-01,1.18137286E+00,1.55606507E-02,2.84718626E-03,8.80737900E+01,,,,,,,365 ,,,351 ,294 ,0.00 ,0.32 ,0.29 ,0.010 ,0.030 ,0.080 ,0.190 ,0.340 ,0.510 ,0.670 ,0.790 ,0.880 ,0.930 ,0.960 ,0.974 ,0.983 ,0.990 ,0.993 ,0.995 ,0.997 ,0.998 ,0.998 ,0.997 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.984 ,0.989 ,0.977 ,0.948 ,0.830 ,0.590 ,3.8 ,3.8 ,3.8 ,3.8 ,3.9 ,4.1 ,4.2 ,4.2 ,4.2 ,4.2 ,4.3 ,4.5 ,4.2 ,4.2 ,4.2 ,4.3 ,4.4 ,4.5 ,4.3 ,4.3 ,4.4 ,4.4 ,4.5 ,4.7 ,4.4 ,4.5 ,4.5 ,4.5 ,4.6 ,4.8 ,4.8 ,4.8 ,4.8 ,4.9 ,5.0 ,5.2 ,5.0 ,5.1 ,5.2 ,5.2 ,5.3 ,5.6 ,4.20E-06,1.23E-08,-8.73E-12,4.14E-07,3.98E-10,1.98E-01,580 ,601 ,620 ,646 ,683 ,55 ,70 ,0.989 ,1108 ,433 ,0.280 ,680 ,7 ,75 ,1.98 ,2 ,4 ,3 ,,52.0 ,4.0 ,,3.24 
65,S-LAL 8,713539,716536,1.674178 ,1.681549 ,1.689301 ,1.695966 ,1.698128 ,1.701858 ,1.704383 ,1.706685 ,1.708974 ,1.709614 ,1.710212 ,1.712877 ,1.712995 ,1.716150 ,1.722210 ,1.722966 ,1.728476 ,1.729435 ,1.735451 ,1.745746 ,53.9 ,53.6 ,53.87 ,53.64 ,0.01324 ,0.013236 ,0.013352 ,0.010846 ,0.004591 ,0.004021 ,0.007176 ,0.016440 ,0.007225 ,0.006016 ,0.016311 ,0.011486 ,0.006536 ,0.006816 ,0.022780 ,0.8194 ,0.3469 ,0.3038 ,0.5422 ,1.2421 ,0.5459 ,0.4545 ,1.2323 ,0.8602 ,0.4895 ,0.5105 ,1.7061 ,0.0200 ,0.0057 ,-0.0107 ,-0.0084 ,-0.0416 ,1.30663291E+00,5.71377253E-01,1.24303605E+00,6.11862448E-03,2.12721470E-02,9.06285686E+01,,,,,,,375 ,,295 ,356 ,295 ,0.00 ,0.42 ,0.39 ,,0.030 ,0.070 ,0.150 ,0.280 ,0.440 ,0.600 ,0.740 ,0.840 ,0.905 ,0.944 ,0.965 ,0.977 ,0.988 ,0.991 ,0.994 ,0.996 ,0.997 ,0.998 ,0.996 ,0.997 ,0.997 ,0.998 ,0.997 ,0.997 ,0.997 ,0.991 ,0.991 ,0.981 ,0.955 ,0.870 ,0.620 ,3.3 ,3.4 ,3.5 ,3.6 ,3.6 ,3.7 ,3.6 ,3.7 ,3.9 ,4.0 ,4.1 ,4.2 ,3.6 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,3.8 ,3.9 ,4.0 ,4.1 ,4.3 ,4.4 ,4.0 ,4.1 ,4.2 ,4.3 ,4.5 ,4.6 ,4.3 ,4.5 ,4.6 ,4.8 ,4.9 ,5.1 ,4.7 ,4.9 ,5.0 ,5.2 ,5.4 ,5.5 ,3.24E-06,1.31E-08,-3.71E-11,3.81E-07,4.99E-10,2.52E-01,590 ,617 ,643 ,668 ,698 ,61 ,74 ,0.894 ,1140 ,442 ,0.289 ,660 ,7 ,81 ,1.75 ,1 ,4 ,3 ,,52.0 ,3.0 ,,3.79 
